0	28.5
10	28.4
20	28.3
30	28.2
40	28
50	27.7
60	27.5
70	27.3
80	27.1
90	27
100	26.9
110	26.8
120	26.9
130	27
140	27.1
150	27.3
160	27.5
170	27.7
180	27.9
190	28.1
200	28.2
210	28.3
220	28.4
230	28.3
240	28.1
250	28
260	27.8
270	27.6
280	27.4
290	27.2
300	27
310	26.9
320	26.8
330	26.8
340	26.9
350	27
360	27.1
370	27.3
380	27.5
390	27.7
400	27.9
410	28
420	28.1
430	28.2
440	28.3
450	28.2
460	28.1
470	28
480	27.8
490	27.6
500	27.3
510	27.2
520	27.1
530	27
540	26.9
550	26.9
560	26.8
570	27
580	27.1
590	27.2
600	27.4
610	27.6
620	27.7
630	27.9
640	28
650	28.1
660	28.1
670	28
680	28
690	27.9
700	27.8
710	27.6
720	27.4
730	27.3
740	27.1
750	27
760	27
770	27
780	27
790	27.1
800	27.2
810	27.3
820	27.4
830	27.6
840	27.7
850	27.8
860	27.9
870	27.9
880	27.9
890	27.8
900	27.8
910	27.7
920	27.6
930	27.4
940	27.3
950	27.2
960	27.1
970	27.1
980	27
990	27
1000	27.1
1010	27.1
1020	27.2
1030	27.4
1040	27.5
1050	27.6
1060	27.7
1070	27.8
1080	27.9
1090	27.9
1100	27.9
1110	27.9
1120	27.8
1130	27.7
