0	26.3
10	26
20	25.6
30	25.5
40	25.4
50	25.3
60	25.3
70	25.5
80	25.6
90	25.8
100	26
110	26.4
120	26.6
130	26.9
140	27
150	27.1
160	27.2
170	27.1
180	27
190	26.9
200	26.8
210	26.5
220	26.3
230	26
240	25.8
250	25.6
260	25.4
270	25.3
280	25.4
290	25.5
300	25.6
310	25.8
320	26.1
330	26.4
340	26.6
350	26.9
360	27
370	27.1
380	27.2
390	27.3
400	27.2
410	27.1
420	26.9
430	26.7
440	26.5
450	26.3
460	26
470	25.8
480	25.6
490	25.5
500	25.6
510	25.7
520	25.8
530	25.9
540	26.2
550	26.4
560	26.6
570	26.8
580	26.9
590	27.1
600	27.1
610	27.2
620	27.1
630	27
640	26.9
650	26.7
660	26.5
670	26.2
680	26.1
690	25.8
700	25.7
710	25.6
720	25.6
730	25.7
740	25.8
750	25.9
760	26.1
770	26.3
780	26.6
790	26.8
800	26.9
810	27.1
820	27.2
830	27.2
840	27.1
850	27
860	27
870	26.9
880	26.6
890	26.4
900	26.2
910	26
920	25.8
930	25.6
940	25.6
950	25.7
960	25.8
970	25.9
980	26
990	26.3
1000	26.5
1010	26.7
1020	26.9
1030	27
1040	27.1
1050	27.1
1060	27
1070	27
1080	26.9
1090	26.7
1100	26.6
